dumb;Keyword;Site;Name;City;Country;Longitude;Latitude
0;OHP-FR;OHP-FR;Observatoite Haute-Provence;St Michel l'Observatoire;FR;5.71;43.93
0;Okie-Tex Star Party 2015;OKI-US;;???;US;-102.95;36.9
0;Observatoire de Mars;OMA-FR;Observatoire de Mars;;FR;4.34;45.01
0;Osservatorio Monte Baldo;OMB-IT;Osservatorio Monte Baldo;;IT;45.42;10.51
0;Observatoire du Pilat;OPI-FR;Observatoire du Pilat;;FR;0.0;0.0
0;Orlienas;ORL-FR;;Orlienas;FR;4.73;45.66
0;Rouen;ORS-FR;Observatoire Rouen Sud;Rouen;FR;1.08;49.42
0;Rouen (France);ORS-FR;Observatoire Rouen Sud;Rouen;FR;1.08;49.42
0;Rouen-FR;ORS-FR;Observatoire Rouen Sud;Rouen;FR;1.08;49.42
0;ROUEN-FR;ORS-FR;Observatoire Rouen Sud;Rouen;FR;1.08;49.42
0;ORS-FR;ORS-FR;Observatoire Rouen Sud;Rouen;FR;1.08;49.42
0;Observatoire St  Maurice;OSM-FR;Observatoire St Maurice;;FR;0.49;46.37
0;Observatoire St Maurice;OSM-FR;Observatoire St Maurice;;FR;0.49;46.37
0;Observatoire St��Maurice;OSM-FR;Observatoire St��Maurice;;FR;0.49;46.37
0;Observatoire de la Tourbiere;OTO-FR;Observatoire la Tourbiere;Chabons;FR;5.43;45.42
0;Observatoire la Tourbiere;OTO-FR;Observatoire la Tourbiere;Chabons;FR;5.43;45.42
0;O.V.A. (Observatoire du Val de l'Arc);OVA-FR;;;FR;0.0;0.0
0;PAG-SP;PAG-SP;;Puig Agulles;SP;1.93;41.39
0;Puig Agulles;PAG-SP;;Puig Agulles;SP;1.93;41.39
0;Pibrac Backyard Observatory;PBO-FR;;Pibrac;FR;1.28;43.62
0;PDM;PDM-FR;Observatoire Pic du Midi;;FR;0.14;4.94
0;Pic du Midi UAI 586;PDM-FR;;;FR;0.14;42.94
0;Pieks?m?ki, Finland;PIE-FI;;Pieks�m�ki;FI;6.26;27.11
0;PIERA;PIE-SP;;Pierra;SP;1.74;41.52
0;Newcastle;PON-UK;;Newcastle;UK;-1.74;55.05
0;PON_UK;PON-UK;;Ponteland;UK;-1.74;55.05
0;Pon_UK.;PON-UK;;Ponteland;UK;-1.74;55.05
0;Ponteland, UK.;PON-UK;;Ponteland;UK;-1.74;55.05
0;Paris Saint-Charles;PSC-FR;Observatoire Paris Saint Charles;Paris;FR;2.35;48.85
0;Saint-Charles;PSC-FR;Observatoire Paris Saint-Charles;Paris;FR;2.35;48.85
0;Rives;RIV-FR;;Rives;FR;5.5;45.35
0;StAubanOuveze;SAO-FR;;Saint Auban Ouveze;FR;5.42;44.29
0;Saint-Auban sur l'Ouveze;SAO-FR;un;Saint Auban Ouveze;FR;5.42;44.29
0;Saint-Jean Illac;SJI-FR;;Saint-Jean-d'Illac;FR;-0.78;44.81
0;Saint-Jean-d'Illac;SJI-FR;;Saint-Jean-d'Illac;FR;-0.78;44.81
0;Saint-Martin-du-Bec;SMB-FR;;Saint-Martin-du-Bec;FR;0.21;49.61
0;SMM-SP;SMM-SP;;Sta. Maria De Montmagrastell;SP;1.11;41.72
0;STA. MARIA DE MONTMAGASTRELL;SMM-SP;;Sta. Maria De Montmagrastell;SP;1.11;41.72
0;Sta. Maria de Montmagastrell;SMM-SP;;Sta. Maria De Montmagrastell;SP;1.11;41.72
0;Sta. Maria M.;SMM-SP;;Sta. Maria De Montmagrastell;SP;1.11;41.72
0;SMU;SMU-FR;;Saint Martin d'Uriage;FR;5.83;45.15
0;San Polo a Mosciano AAF;SPL-??;;;;0.0;0.0
0;Shenton Park;SPO-AU;;Shenton;AU;115.82;-31.96
0;SSO-AU;SSO-AU;un;un;un;0.0;0.0
0;Saint Sordelin;SSO-FR;;Vaux sur Mer;FR;-1.03;45.65
0;iTelescope - SSO site;SSO-AU;un;un;un;0.0;0.0
0;Siding Springs Observatory iTelescope Facility;SSO-AU;un;un;un;0.0;0.0
0;Staffelfelden;STA-FR;;STA-FR;FR;47.83;7.28
0;Stock,Essex,UK;STO-UK;;Stock;UK;0.45;51.66
